,treatment_cultivar,cultivar,variable,value_simulated,value_measured,experiment,position,calibration_code,plantgro_variables,overview_variables,calibration_method,short_label,long_label,treatment
846,DR22_G-1,ENTRY 1,Product number (no/m2),4948.0,6435.0,CIOB2301 WH ROOTS ANATOMY,7,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
848,DR22_G-1,ENTRY 1,Product harvest index (ratio),0.67,0.21,CIOB2301 WH ROOTS ANATOMY,9,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
849,DR22_G-1,ENTRY 1,Maximum leaf area index,1.8,3.2,CIOB2301 WH ROOTS ANATOMY,10,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
852,DR22_G-1,ENTRY 1,Canopy (tops) wt (kg dm/ha),3682.0,6581.0,CIOB2301 WH ROOTS ANATOMY,13,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
853,DR22_G-1,ENTRY 1,Vegetative wt (kg dm/ha),1204.0,5058.0,CIOB2301 WH ROOTS ANATOMY,14,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
863,DR22_G-1,ENTRY 1,Product N (kg/ha),54.9,41.3,CIOB2301 WH ROOTS ANATOMY,24,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
865,DR22_G-1,ENTRY 1,Product N (%),2.2,2.9,CIOB2301 WH ROOTS ANATOMY,26,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
871,DR22_G-2,ENTRY 2,Emergence (DAP),3.0,6.0,CIOB2301 WH ROOTS ANATOMY,2,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
872,DR22_G-2,ENTRY 2,Anthesis (DAP),90.0,78.0,CIOB2301 WH ROOTS ANATOMY,3,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
873,DR22_G-2,ENTRY 2,Maturity (DAP),132.0,110.0,CIOB2301 WH ROOTS ANATOMY,4,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
874,DR22_G-2,ENTRY 2,Product wt (kg dm/ha;no loss),2305.0,1940.0,CIOB2301 WH ROOTS ANATOMY,5,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
875,DR22_G-2,ENTRY 2,Product unit weight (g dm),0.043,0.018,CIOB2301 WH ROOTS ANATOMY,6,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
876,DR22_G-2,ENTRY 2,Product number (no/m2),5385.0,10565.0,CIOB2301 WH ROOTS ANATOMY,7,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
878,DR22_G-2,ENTRY 2,Product harvest index (ratio),0.64,0.38,CIOB2301 WH ROOTS ANATOMY,9,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
879,DR22_G-2,ENTRY 2,Maximum leaf area index,2.1,3.1,CIOB2301 WH ROOTS ANATOMY,10,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
882,DR22_G-2,ENTRY 2,Canopy (tops) wt (kg dm/ha),3624.0,4944.0,CIOB2301 WH ROOTS ANATOMY,13,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
883,DR22_G-2,ENTRY 2,Vegetative wt (kg dm/ha),1319.0,3004.0,CIOB2301 WH ROOTS ANATOMY,14,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
893,DR22_G-2,ENTRY 2,Product N (kg/ha),57.3,50.6,CIOB2301 WH ROOTS ANATOMY,24,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
895,DR22_G-2,ENTRY 2,Product N (%),2.5,2.7,CIOB2301 WH ROOTS ANATOMY,26,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
901,DR22_G-3,ENTRY 3,Emergence (DAP),3.0,6.0,CIOB2301 WH ROOTS ANATOMY,2,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
902,DR22_G-3,ENTRY 3,Anthesis (DAP),87.0,77.0,CIOB2301 WH ROOTS ANATOMY,3,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
903,DR22_G-3,ENTRY 3,Maturity (DAP),126.0,111.0,CIOB2301 WH ROOTS ANATOMY,4,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
904,DR22_G-3,ENTRY 3,Product wt (kg dm/ha;no loss),2195.0,2407.0,CIOB2301 WH ROOTS ANATOMY,5,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
905,DR22_G-3,ENTRY 3,Product unit weight (g dm),0.043,0.025,CIOB2301 WH ROOTS ANATOMY,6,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
906,DR22_G-3,ENTRY 3,Product number (no/m2),5134.0,9350.0,CIOB2301 WH ROOTS ANATOMY,7,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
908,DR22_G-3,ENTRY 3,Product harvest index (ratio),0.61,0.39,CIOB2301 WH ROOTS ANATOMY,9,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
909,DR22_G-3,ENTRY 3,Maximum leaf area index,2.2,3.2,CIOB2301 WH ROOTS ANATOMY,10,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
912,DR22_G-3,ENTRY 3,Canopy (tops) wt (kg dm/ha),3619.0,6096.0,CIOB2301 WH ROOTS ANATOMY,13,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
913,DR22_G-3,ENTRY 3,Vegetative wt (kg dm/ha),1424.0,3689.0,CIOB2301 WH ROOTS ANATOMY,14,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
923,DR22_G-3,ENTRY 3,Product N (kg/ha),56.3,56.0,CIOB2301 WH ROOTS ANATOMY,24,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
925,DR22_G-3,ENTRY 3,Product N (%),2.6,2.4,CIOB2301 WH ROOTS ANATOMY,26,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
931,DR22_G-4,ENTRY 4,Emergence (DAP),3.0,6.0,CIOB2301 WH ROOTS ANATOMY,2,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
932,DR22_G-4,ENTRY 4,Anthesis (DAP),85.0,80.0,CIOB2301 WH ROOTS ANATOMY,3,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
933,DR22_G-4,ENTRY 4,Maturity (DAP),125.0,111.0,CIOB2301 WH ROOTS ANATOMY,4,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
934,DR22_G-4,ENTRY 4,Product wt (kg dm/ha;no loss),2222.0,1870.0,CIOB2301 WH ROOTS ANATOMY,5,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
935,DR22_G-4,ENTRY 4,Product unit weight (g dm),0.043,0.027,CIOB2301 WH ROOTS ANATOMY,6,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
936,DR22_G-4,ENTRY 4,Product number (no/m2),5143.0,7089.0,CIOB2301 WH ROOTS ANATOMY,7,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
938,DR22_G-4,ENTRY 4,Product harvest index (ratio),0.62,0.39,CIOB2301 WH ROOTS ANATOMY,9,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
939,DR22_G-4,ENTRY 4,Maximum leaf area index,2.3,3.0,CIOB2301 WH ROOTS ANATOMY,10,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
942,DR22_G-4,ENTRY 4,Canopy (tops) wt (kg dm/ha),3602.0,4828.0,CIOB2301 WH ROOTS ANATOMY,13,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
943,DR22_G-4,ENTRY 4,Vegetative wt (kg dm/ha),1380.0,2958.0,CIOB2301 WH ROOTS ANATOMY,14,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
953,DR22_G-4,ENTRY 4,Product N (kg/ha),58.6,49.6,CIOB2301 WH ROOTS ANATOMY,24,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
955,DR22_G-4,ENTRY 4,Product N (%),2.6,2.6,CIOB2301 WH ROOTS ANATOMY,26,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
961,DR22_G-5,ENTRY 5,Emergence (DAP),3.0,6.0,CIOB2301 WH ROOTS ANATOMY,2,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
962,DR22_G-5,ENTRY 5,Anthesis (DAP),103.0,80.0,CIOB2301 WH ROOTS ANATOMY,3,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
963,DR22_G-5,ENTRY 5,Maturity (DAP),139.0,111.0,CIOB2301 WH ROOTS ANATOMY,4,pest_09_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CAW,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 +  Initial Ecotype Values = CAWH01",Drought Stress 2022
